symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
PPL,2016-12-31,False,FY,2016,10-K,7517000000.0,3048000000.0,1902000000.0,2.8,2.79,1.52,38315000000.0,2067000000.0,3837000000.0,341000000.0,9899000000.0,2890000000.0,-2918000000.0,-439000000.0
PRU,2016-12-31,False,FY,2016,10-K,58779000000.0,,4368000000.0,9.85,9.71,2.8,783962000000.0,,,14127000000.0,46088000000.0,14778000000.0,-21551000000.0,3238000000.0
QUOT,2016-12-31,False,FY,2016,10-K,275190000.0,-19733000.0,-19479000.0,-0.23,-0.23,0.0,362756000.0,253584000.0,45890000.0,106174000.0,311749000.0,21815000.0,-50559000.0,-26000.0
Q,2016-12-31,False,FY,2016,10-K,6878000000.0,642000000.0,115000000.0,0.77,0.76,0.0,21208000000.0,3337000000.0,2705000000.0,1198000000.0,8860000000.0,860000000.0,1731000000.0,-2284000000.0
GNCA,2016-12-31,False,FY,2016,10-K,235000.0,-48245000.0,-49573000.0,-1.75,-1.75,0.0,69896000.0,64288000.0,10370000.0,27424000.0,45541000.0,-41835000.0,50711000.0,1289000.0
QSR,2016-12-31,False,FY,2016,10-K,4145800000.0,1666700000.0,345600000.0,1.48,1.45,0.62,19124900000.0,2097000000.0,1210700000.0,1460400000.0,3488600000.0,1269000000.0,26900000.0,-590900000.0
RSG,2016-12-31,False,FY,2015,10-K,9387700000.0,1537500000.0,612588000.0,1.79,1.78,1.24,20629600000.0,1284500000.0,1812000000.0,67800000.0,7693700000.0,1847800000.0,-961200000.0,-851200000.0
RTEC,2016-12-31,False,FY,2016,10-K,232780000.0,52348000.0,36952000.0,1.19,1.16,0.0,338699000.0,262630000.0,35962000.0,37859000.0,293735000.0,46633000.0,24469000.0,-78111000.0
GPRO,2016-12-31,False,FY,2016,10-K,1185481000.0,-372969000.0,-419003000.0,-3.01,-3.01,0.0,922640000.0,587813000.0,430739000.0,192114000.0,446945000.0,-107753000.0,19286000.0,1955000.0
LOPE,2016-12-31,False,FY,2016,10-K,873344000.0,237203000.0,148514000.0,3.22,3.15,0.0,1092493000.0,230068000.0,226794000.0,45976000.0,773686000.0,218286000.0,-216001000.0,20655000.0
HA,2016-12-31,False,FY,2016,10-K,2450580000.0,395462000.0,235432000.0,4.4,4.36,0.0,2708601000.0,798236000.0,830116000.0,325991000.0,680453000.0,417388000.0,-154103000.0,-218796000.0
AOS,2016-12-31,False,FY,2016,10-K,2685900000.0,515000000.0,326500000.0,1.87,1.85,0.48,2891000000.0,1562000000.0,765600000.0,330400000.0,1515300000.0,446600000.0,-300200000.0,-139600000.0
STAG,2016-12-31,False,FY,2016,10-K,250243000.0,,20238000.0,0.29,0.29,1.389996,2186156000.0,,,12192000.0,1066926000.0,135423000.0,-347112000.0,211870000.0
STT,2016-12-31,False,FY,2016,10-K,10207000000.0,,1968000000.0,5.03,4.97,1.44,242698000000.0,,,1314000000.0,21219000000.0,2290000000.0,4230000000.0,-6413000000.0
SWC,2016-12-31,False,FY,2016,10-K,711335000.0,24091000.0,9473000.0,0.08,0.08,0.0,1327037000.0,614319000.0,87308000.0,123238000.0,920846000.0,78255000.0,-100086000.0,-2267000.0
SXC,2016-12-31,False,FY,2016,10-K,779700000.0,146100000.0,119100000.0,4.14,4.14,0.0,1696000000.0,150000000.0,85500000.0,41800000.0,753700000.0,183600000.0,-17800000.0,-172600000.0
SXC,2016-12-31,False,FY,2016,10-K,1222200000.0,96600000.0,14400000.0,0.22,0.22,0.0,2120900000.0,316100000.0,172000000.0,134000000.0,639900000.0,219100000.0,-36200000.0,-172300000.0
SWFT,2016-12-31,False,FY,2016,10-K,4031517000.0,242012000.0,149267000.0,1.11,1.1,0.0,2745666000.0,655551000.0,409573000.0,89391000.0,672255000.0,466312000.0,-122607000.0,-361904000.0
NSIT,2016-12-31,False,FY,2016,10-K,5485515000.0,148832000.0,84690000.0,2.35,2.32,0.0,2219300000.0,1983605000.0,1438662000.0,202882000.0,713443000.0,95805000.0,-21185000.0,-57907000.0
INTC,2016-12-31,False,FY,2016,10-K,59387000000.0,12874000000.0,10316000000.0,2.18,2.12,1.04,113327000000.0,35508000000.0,20302000000.0,5560000000.0,66226000000.0,21808000000.0,-25817000000.0,-5739000000.0
ISIL,2016-12-30,False,FY,2016,10-K,542139000.0,63311000.0,48137000.0,0.36,0.35,0.48,1165341000.0,437119000.0,171082000.0,224456000.0,983539000.0,104673000.0,-83159000.0,-43215000.0
TRV,2016-12-31,False,FY,2016,10-K,27625000000.0,,2992000000.0,10.39,10.28,2.62,100245000000.0,,,307000000.0,23221000000.0,4202000000.0,-1460000000.0,-2806000000.0
IRBT,2016-12-31,False,FY,2016,10-K,660604000.0,57557000.0,41939000.0,1.51,1.48,0.0,507912000.0,383670000.0,112636000.0,214523000.0,388956000.0,116424000.0,4190000.0,-86006000.0
THS,2016-12-31,False,FY,2016,10-K,6175088000.0,-96792000.0,-228594000.0,-4.1,-4.1,0.0,6545822000.0,1560749000.0,693194000.0,62111000.0,2503324000.0,478613000.0,-2831386000.0,2377732000.0
TRN,2016-12-31,False,FY,2016,10-K,4588300000.0,742200000.0,334200000.0,2.25,2.25,0.44,9125300000.0,,,563400000.0,4311100000.0,1090200000.0,-1022700000.0,-290100000.0
JBLU,2016-12-31,False,FY,2016,10-K,6632000000.0,1312000000.0,759000000.0,2.32,2.22,0.0,9487000000.0,1567000000.0,2223000000.0,433000000.0,4013000000.0,1632000000.0,-1045000000.0,-472000000.0
KELYA,2017-01-01,False,FY,2016,10-K,5276800000.0,63200000.0,120800000.0,3.1,3.08,0.275,2028100000.0,1214600000.0,771100000.0,29600000.0,1012000000.0,37400000.0,10300000.0,-66900000.0
UE,2016-12-31,False,FY,2016,10-K,325976000.0,133018000.0,90701000.0,0.91,0.91,0.82,1904138000.0,,,131654000.0,496117000.0,137249000.0,-59230000.0,-115858000.0
VSH,2016-12-31,False,FY,2016,10-K,2323431000.0,101717000.0,48792000.0,0.33,0.32,0.25,3077801000.0,1864472000.0,456850000.0,471781000.0,1570958000.0,295967000.0,-148641000.0,-142002000.0
LBRD,2016-12-31,False,FY,2016,10-K,30586000.0,-21160000.0,917303000.0,6.03,6.0,0.0,9590960000.0,258419000.0,412116000.0,205728000.0,8473092000.0,-11898000.0,-4990800000.0,4553347000.0
LTRP,2016-12-31,False,FY,2016,10-K,1532000000.0,23000000.0,21000000.0,0.28,0.28,0.0,7282000000.0,1010000000.0,435000000.0,654000000.0,5424000000.0,301000000.0,-164000000.0,-110000000.0
LPNT,2016-12-31,False,FY,2016,10-K,7273600000.0,,121900000.0,2.9,2.82,0.0,6319000000.0,1315300000.0,788200000.0,96100000.0,2228400000.0,435200000.0,-520700000.0,-102400000.0
LLNW,2016-12-31,False,FY,2016,10-K,168234000.0,-72429000.0,-73925000.0,-0.71,-0.71,0.0,208129000.0,98683000.0,41952000.0,21734000.0,137568000.0,6558000.0,-25373000.0,-3924000.0
WBC,2016-12-31,False,FY,2016,10-K,2810000000.0,355900000.0,223000000.0,4.0,3.98,0.0,3056000000.0,1874000000.0,530900000.0,862500000.0,767300000.0,405400000.0,-251800000.0,220600000.0
WM,2016-12-31,False,FY,2016,10-K,13609000000.0,2296000000.0,1182000000.0,2.66,2.65,1.64,20859000000.0,2376000000.0,2794000000.0,32000000.0,5320000000.0,2960000000.0,-1932000000.0,-1035000000.0
MCBC,2016-12-31,False,FY,2016,10-K,71573000.0,,15951000.0,0.47,0.47,0.12,1741013000.0,,,89819000.0,162239000.0,16928000.0,-105340000.0,-3245000.0
